food_name,category,calories,protein_g,carbs_g,fat_g,fiber_g,sugars_g,sodium_mg,cholesterol_mg,meal_type,water_ml,calorie_category,health_score,food_name_id
Hot Chocolate (1 cup),beverage,200,3.0,30.0,8.0,2.0,25.0,160,10,snack,240,medium,31.8,Hot Chocolate (1 cangkir)
Coconut Shrimp (5 pcs),meal/seafood,320,10.0,25.0,20.0,3.0,8.0,600,80,dinner,0,high,46.7,Coconut udang (5 pcs)
Sweet Chili Sauce (2 tbsp),condiment,70,0.0,17.0,0.0,0.5,16.0,450,0,dinner,0,low,21.9,Sweet Chili Sauce (2 tbsp)
White Wine (5 oz glass),beverage,121,0.1,3.8,0.0,0.0,1.4,5,0,dinner,0,medium,41.3,White Wine (5 oz glass)
Trail Mix (1/4 cup),snack/processed,190,5.0,20.0,12.0,3.0,14.0,50,0,snack,250,medium,50.7,Trail Mix (1/4 cangkir)
Onion Rings (6 rings),snack/processed,280,4.0,30.0,16.0,3.0,4.0,500,0,snack,0,medium,46.9,Onion Rings (6 rings)
Poached Egg (1 large),protein,72,6.3,0.4,4.8,0.0,0.4,140,185,breakfast,0,low,39.1,Poached telur (1 besar)
Canadian Bacon (2 slices),protein/meat,80,12.0,1.0,3.0,0.0,1.0,650,40,breakfast,0,low,43.8,Canadian Bacon (2 slices)
Eggs Benedict (1 serving),meal/protein,600,25.0,30.0,40.0,3.0,4.0,1100,450,breakfast,250,very_high,42.9,telur Benedict (1 porsi)
Hollandaise Sauce (2 tbsp),condiment,110,1.0,0.5,12.0,0.0,0.2,150,50,breakfast,0,medium,37.8,Hollandaise Sauce (2 tbsp)
Spinach Artichoke Dip (1/4 cup),snack/processed,160,5.0,6.0,14.0,2.0,2.0,350,30,snack,0,medium,47.6,bayam Artichoke Dip (1/4 cangkir)
Tortilla Chips (1 oz),snack/processed,140,2.0,19.0,7.0,2.0,0.5,120,0,snack,0,medium,50.8,Tortilla Chips (1 oz)
Chicken Kebab (2 skewers),meal/meat,280,30.0,8.0,14.0,3.0,4.0,500,85,dinner,250,medium,83.1,ayam Kebab (2 skewers)
Bell Peppers & Onions (sautéed),vegetable,60,1.5,10.0,2.0,3.0,6.0,30,0,dinner,0,low,51.9,Bell Peppers & Onions (sautéed)
Hummus Wrap (large),meal/vegetarian,450,15.0,60.0,18.0,12.0,5.0,800,0,lunch,500,high,94.3,Hummus Wrap (besar)
Kombucha (1 cup),beverage,30,0.0,7.0,0.0,0.0,6.0,10,0,snack,240,low,37.4,Kombucha (1 cangkir)
Beef Stroganoff (1.5 cups),meal/pasta,550,30.0,40.0,28.0,4.0,6.0,900,100,dinner,0,very_high,76.1,daging sapi Stroganoff (1.5 cups)
Egg Noodles (1 cup cooked),grain,220,8.0,40.0,3.0,2.0,2.0,20,50,dinner,0,medium,58.6,telur mi (1 cangkir matang)
Cottage Cheese (1 cup low fat),dairy,160,28.0,6.0,2.5,0.0,4.0,820,10,lunch,250,medium,64.2,Cottage keju (1 cangkir low fat)
Tomato (1 medium sliced),vegetable,22,1.1,4.8,0.2,1.5,3.2,6,0,lunch,0,low,47.7,tomat (1 sedang sliced)
Black Pepper (1 tsp),condiment,6,0.2,1.5,0.1,0.6,0.0,0,0,lunch,0,low,45.1,hitam Pepper (1 tsp)
Chocolate Pudding (1/2 cup),dessert,150,2.0,28.0,4.0,2.0,22.0,130,2,snack,0,medium,33.6,Chocolate Pudding (1/2 cangkir)
Mackerel (3oz cooked),protein/fish,175,16.0,0.0,12.0,0.0,0.0,75,65,dinner,0,medium,62.3,Mackerel (3oz matang)
Collard Greens (1 cup cooked),vegetable,60,5.0,10.0,1.0,7.0,1.0,40,0,dinner,0,low,77.8,Collard Greens (1 cangkir matang)
Ham (3oz deli sliced),protein/meat,110,16.0,2.0,4.0,0.0,1.5,950,45,lunch,0,medium,42.7,Ham (3oz deli sliced)
Swiss Cheese (1 slice),dairy,106,7.6,1.0,8.0,0.0,0.4,54,26,lunch,0,medium,51.3,Swiss keju (1 iris)
Rye Bread (1 slice),grain,83,2.7,15.5,1.1,1.9,1.2,170,0,lunch,0,low,49.8,Rye roti (1 iris)
Potato Leek Soup (1 cup),meal/vegetable,180,4.0,25.0,7.0,3.0,4.0,650,15,lunch,250,medium,42.8,kentang Leek sup (1 cangkir)
Brie Cheese (1 oz),dairy,95,6.0,0.1,7.9,0.0,0.1,178,28,snack,0,low,46.2,Brie keju (1 oz)
Water Cracker (5 crackers),grain/processed,70,1.5,12.0,1.5,0.5,0.0,150,0,snack,0,low,43.4,air Cracker (5 crackers)
Grapefruit (1/2 medium),fruit,52,1.1,13.2,0.2,2.0,8.5,0,0,breakfast,0,low,45.8,Grapefruit (1/2 sedang)
Veggie Straws (1 oz),snack/processed,130,1.0,17.0,7.0,1.0,1.0,220,0,snack,0,medium,42.4,Veggie Straws (1 oz)
Fish Tacos (2 tacos),meal/fish,420,25.0,40.0,18.0,6.0,5.0,700,60,dinner,500,high,83.9,ikan Tacos (2 tacos)
Cabbage Slaw (side),vegetable,60,1.0,8.0,3.0,2.0,5.0,120,5,dinner,0,low,45.4,Cabbage Slaw (side)
Lime (juice of 1),condiment,11,0.2,3.7,0.0,0.4,0.7,1,0,dinner,0,low,43.7,Lime (juice of 1)
Beer (12 oz light),beverage,103,0.9,5.8,0.0,0.0,0.3,10,0,snack,355,medium,43.3,Beer (12 oz light)
Danish (Cheese 1 medium),dessert,340,7.0,38.0,18.0,2.0,16.0,300,55,breakfast,250,high,39.6,Danish (keju 1 sedang)
Kefir (Plain 1 cup),beverage/dairy,104,10.0,10.0,2.5,0.0,9.0,100,10,breakfast,240,medium,48.2,Kefir (Plain 1 cangkir)
Gnocchi (1 cup),meal/pasta,210,4.5,45.0,1.5,3.0,2.0,480,0,dinner,0,medium,49.7,Gnocchi (1 cangkir)
Pesto Sauce (1/4 cup),condiment,260,5.0,4.0,26.0,2.0,1.0,550,5,dinner,0,medium,45.2,Pesto Sauce (1/4 cangkir)
Pine Nuts (1 tbsp),nut,95,2.0,2.0,10.0,0.5,0.5,0,0,dinner,0,low,47.2,Pine Nuts (1 tbsp)
Chai Latte (12 oz),beverage,190,7.0,32.0,4.0,1.0,30.0,105,15,snack,355,medium,30.9,Chai Latte (12 oz)
Manicotti (2 shells cheese),meal/pasta,380,20.0,35.0,18.0,4.0,7.0,650,60,dinner,0,high,67.3,Manicotti (2 shells keju)
Italian Sausage (1 link),protein/meat,200,12.0,3.0,16.0,0.0,1.0,550,50,dinner,0,medium,45.5,Italian Sausage (1 link)
Jicama (1 cup sticks),vegetable,46,0.9,10.6,0.1,5.8,2.1,5,0,snack,0,low,66.3,Jicama (1 cangkir sticks)
Chili Powder (1 tsp),condiment,8,0.3,1.4,0.4,0.9,0.2,10,0,snack,0,low,46.2,Chili Powder (1 tsp)
Ants on a Log (4 pcs),snack,180,6.0,12.0,12.0,3.0,7.0,120,0,snack,250,medium,56.1,Ants on a Log (4 pcs)
Split Pea Soup (1 cup),meal/legume,180,11.0,30.0,2.0,10.0,6.0,700,5,lunch,250,medium,80.9,Split Pea sup (1 cangkir)
Ham & Cheese Croissant,meal/processed,400,15.0,35.0,22.0,2.0,6.0,750,60,breakfast,250,high,49.6,Ham & keju Croissant
Espresso (double shot),beverage,5,0.5,0.0,0.1,0.0,0.0,1,0,breakfast,60,low,43.1,Espresso (double shot)
Ricotta Cheese (1/4 cup),dairy,85,5.5,2.5,6.0,0.0,1.0,50,24,dinner,0,low,47.8,Ricotta keju (1/4 cangkir)
Chicken & Rice Soup (1 can),meal/processed,130,7.0,18.0,3.0,2.0,2.0,850,15,lunch,250,medium,40.4,ayam & nasi sup (1 can)
Guava,fruit,68,2.6,14.3,0.9,5.4,8.9,3,0,snack,0,low,62.0,Guava
Club Sandwich,meal/processed,580,35.0,40.0,30.0,5.0,7.0,1300,95,lunch,500,very_high,78.6,Club sandwich
Pickle (1 whole dill),vegetable,17,0.8,3.7,0.2,1.5,1.7,1200,0,snack,0,low,21.8,Pickle (1 whole dill)
Turkey Chili (1 cup),meal/meat,250,22.0,25.0,7.0,8.0,6.0,750,50,dinner,250,medium,86.2,Turkey Chili (1 cangkir)
Sour Cream (2 tbsp),condiment/dairy,60,0.8,1.3,5.8,0.0,0.8,25,12,dinner,0,low,41.8,Sour Cream (2 tbsp)
Shredded Cheese (Cheddar 1/4 cup),dairy,115,7.0,1.0,9.5,0.0,0.5,180,30,dinner,0,medium,47.3,Shredded keju (Cheddar 1/4 cangkir)
Matcha Latte (12 oz),beverage,180,6.0,28.0,5.0,2.0,25.0,90,20,snack,355,medium,37.5,Matcha Latte (12 oz)
Chocolate Donut (1 medium),dessert,300,4.0,35.0,17.0,2.0,18.0,230,20,breakfast,0,high,36.7,Chocolate Donut (1 sedang)
Tuna Melt,meal/processed,450,25.0,32.0,25.0,3.0,4.0,900,50,lunch,250,high,68.2,tuna Melt
Apple Cider (1 cup),beverage,117,0.1,29.0,0.3,0.5,27.0,10,0,snack,240,medium,23.2,apel Cider (1 cangkir)
Beef Burrito (large),meal/processed,650,30.0,70.0,28.0,10.0,5.0,1400,70,dinner,500,very_high,92.4,daging sapi burrito (besar)
Pico de Gallo (1/4 cup),condiment,15,0.5,3.0,0.0,1.0,2.0,200,0,dinner,0,low,41.3,Pico de Gallo (1/4 cangkir)
Corn Tortilla (1 medium),grain,52,1.4,11.2,0.7,1.5,0.2,4,0,dinner,0,low,50.6,Corn Tortilla (1 sedang)
Mussels (3oz steamed),protein/seafood,146,20.0,6.0,4.0,0.0,0.0,310,48,dinner,0,medium,64.2,Mussels (3oz kukus)
White Wine Sauce (1/4 cup),condiment,80,1.0,4.0,6.0,0.5,2.0,300,5,dinner,0,low,37.5,White Wine Sauce (1/4 cangkir)
French Bread (2 slices),grain,180,6.0,36.0,1.0,2.0,2.0,380,0,dinner,0,medium,50.1,French roti (2 slices)
Blackberries (1 cup),fruit,62,2.0,13.8,0.7,7.6,4.9,1,0,snack,0,low,73.4,Blackberries (1 cangkir)
Cheese Danish,dessert,340,7.0,38.0,18.0,2.0,16.0,300,55,breakfast,250,high,39.6,keju Danish
Chicken Salad Sandwich,meal/processed,420,20.0,35.0,20.0,3.0,5.0,850,60,lunch,250,high,60.2,salad ayam sandwich
Soyrizo (2 oz),protein/vegetarian,140,10.0,6.0,9.0,3.0,2.0,450,0,breakfast,0,medium,58.9,Soyrizo (2 oz)
Hash Browns (1 cup),vegetable,330,3.0,38.0,19.0,3.0,1.0,550,0,breakfast,0,high,46.6,Hash Browns (1 cangkir)
Ketchup (1 packet),condiment,10,0.1,2.5,0.0,0.1,2.0,90,0,breakfast,0,low,39.3,Ketchup (1 packet)
Philly Cheesesteak (6 inch),meal/processed,500,25.0,40.0,28.0,3.0,5.0,1100,70,lunch,500,very_high,61.9,Philly Cheesesteak (6 inch)
Cheese Whiz (2 tbsp),condiment/processed,90,4.0,3.0,7.0,0.0,2.0,540,20,lunch,0,low,34.0,keju Whiz (2 tbsp)
Onions (sautéed 1/4 cup),vegetable,30,0.5,5.0,1.0,1.0,3.0,5,0,lunch,0,low,44.8,Onions (sautéed 1/4 cangkir)
Raspberries (1 cup),fruit,64,1.5,14.7,0.8,8.0,5.4,1,0,snack,0,low,73.9,Raspberries (1 cangkir)
Cheesy Grits (1 cup),meal/grain,210,6.0,34.0,6.0,2.0,1.0,550,20,breakfast,0,medium,46.0,Cheesy Grits (1 cangkir)
Collard Greens (with ham hock),vegetable,180,10.0,15.0,9.0,8.0,3.0,600,30,dinner,0,medium,74.2,Collard Greens (with ham hock)
Fried Okra (1 cup),vegetable,220,4.0,25.0,12.0,5.0,3.0,450,10,dinner,0,medium,56.6,goreng Okra (1 cangkir)
Sweet Tea (16 oz),beverage,180,0.0,46.0,0.0,0.0,46.0,15,0,lunch,473,medium,6.0,Sweet teh (16 oz)
Gyro (1 sandwich),meal/meat,600,25.0,55.0,30.0,5.0,6.0,1200,80,dinner,250,very_high,66.8,Gyro (1 sandwich)
Pita Bread (White 1 large),grain,220,7.0,45.0,2.0,2.0,2.0,440,0,dinner,0,medium,50.3,Pita roti (White 1 besar)
Baklava (1 piece),dessert,280,3.0,30.0,18.0,2.0,20.0,80,10,snack,0,medium,37.5,Baklava (1 piece)
Coconut (shredded 1/4 cup),fruit,110,1.0,4.5,10.5,2.0,1.5,3,0,snack,0,medium,51.0,Coconut (shredded 1/4 cangkir)
S'more (1 serving),dessert,140,2.0,25.0,4.0,1.0,15.0,90,0,snack,0,medium,35.9,S'more (1 porsi)
Graham Cracker (1 large rectangle),grain/processed,60,1.0,11.0,1.5,0.5,4.0,70,0,snack,0,low,41.3,Graham Cracker (1 besar rectangle)
Marshmallow (1 large),dessert,23,0.1,5.8,0.0,0.0,4.0,5,0,snack,0,low,39.3,Marshmallow (1 besar)
Chocolate (Hershey's bar 1 segment),dessert,25,0.3,3.0,1.5,0.2,2.8,4,1,snack,0,low,41.3,Chocolate (Hershey's bar 1 segment)
Chicken Parm Sandwich,meal/processed,650,40.0,55.0,30.0,6.0,9.0,1400,100,lunch,500,very_high,86.6,ayam Parm sandwich
Mozzarella (1 slice),dairy,80,6.0,1.0,6.0,0.0,0.5,150,20,lunch,0,low,46.9,Mozzarella (1 iris)
Bread Roll (hoagie),grain,200,6.0,38.0,2.0,2.0,3.0,400,0,lunch,0,medium,48.8,roti Roll (hoagie)
Artichoke (1 medium steamed),vegetable,60,4.2,13.4,0.2,6.9,1.2,112,0,dinner,0,low,74.4,Artichoke (1 sedang kukus)
Mayonnaise (1 tbsp for dipping),condiment,90,0.1,0.1,10.0,0.0,0.1,70,5,dinner,0,low,40.6,Mayonnaise (1 tbsp for dipping)
Calamari (fried 3oz),meal/seafood,150,13.0,8.0,7.0,1.0,1.0,600,220,dinner,0,medium,41.2,Calamari (goreng 3oz)
Lemon Wedge (for calamari),condiment,3,0.1,1.0,0.0,0.3,0.2,0,0,dinner,0,low,43.6,Lemon Wedge (for calamari)
Root Beer (1 can),beverage,150,0.0,40.0,0.0,0.0,40.0,55,0,snack,355,medium,9.8,Root Beer (1 can)
Chicken McNuggets (6 pcs),meal/processed,270,15.0,16.0,16.0,1.0,0.0,500,40,lunch,0,medium,56.8,ayam McNuggets (6 pcs)
BBQ Sauce (2 tbsp),condiment,60,0.5,15.0,0.0,0.5,12.0,350,0,lunch,0,low,28.0,BBQ Sauce (2 tbsp)
Honey (1 tbsp),condiment,64,0.1,17.3,0.0,0.0,17.2,1,0,breakfast,0,low,29.0,Honey (1 tbsp)
Tofu Scramble,meal/vegetarian,250,20.0,8.0,16.0,4.0,3.0,300,0,breakfast,250,medium,81.3,Tofu Scramble
Turmeric (1 tsp),condiment,9,0.3,1.9,0.1,0.7,0.1,1,0,breakfast,0,low,45.6,Turmeric (1 tsp)
Nutritional Yeast (1 tbsp),condiment,20,3.0,2.0,0.0,1.0,0.0,10,0,breakfast,0,low,51.0,Nutritional Yeast (1 tbsp)
Seitan (3oz),protein/vegetarian,90,18.0,4.0,1.0,1.0,1.0,300,0,dinner,0,low,67.2,Seitan (3oz)
Vegetable Broth (1 cup),beverage,15,1.0,3.0,0.0,1.0,2.0,550,0,dinner,240,low,34.3,Vegetable Broth (1 cangkir)
Mashed Cauliflower (1 cup),vegetable,140,5.0,12.0,8.0,5.0,4.0,400,25,dinner,0,medium,57.8,Mashed Cauliflower (1 cangkir)
Peanut Sauce (2 tbsp),condiment,80,2.0,4.0,6.0,1.0,3.0,250,0,dinner,0,low,41.7,Peanut Sauce (2 tbsp)
Tempeh (3oz),protein/vegetarian,160,16.0,8.0,9.0,5.0,0.0,10,0,lunch,0,medium,88.1,Tempeh (3oz)
Sauerkraut (1/2 cup),vegetable,14,0.7,3.1,0.1,2.0,1.2,468,0,lunch,0,low,40.5,Sauerkraut (1/2 cangkir)
Rye Crispbread (2 slices),grain,70,2.0,14.0,0.5,3.0,0.0,120,0,lunch,0,low,55.3,Rye Crispbread (2 slices)
Capers (1 tbsp),condiment,2,0.2,0.4,0.1,0.3,0.1,200,0,dinner,0,low,39.4,Capers (1 tbsp)
Chicken Liver (2 oz cooked),protein/meat,91,13.6,0.6,3.6,0.0,0.0,50,320,dinner,0,low,45.8,ayam Liver (2 oz matang)
Onion (1/2 cup raw chopped),vegetable,32,0.9,7.5,0.1,1.4,3.8,3,0,dinner,0,low,46.6,Onion (1/2 cangkir mentah chopped)
Bok Choy (1 cup steamed),vegetable,10,1.5,2.0,0.1,1.0,1.0,40,0,dinner,0,low,47.2,Bok Choy (1 cangkir kukus)
Gummy Bears (10 pcs),snack/dessert,100,2.0,22.0,0.0,0.0,15.0,10,0,snack,0,medium,33.5,Gummy Bears (10 pcs)
Whiskey (1.5 oz shot),beverage,105,0.0,0.1,0.0,0.0,0.1,1,0,snack,0,medium,42.2,Whiskey (1.5 oz shot)
Dates (2 medium Medjool),fruit,133,0.8,36.0,0.1,3.2,32.0,1,0,snack,0,medium,31.9,Dates (2 sedang Medjool)
Tahini (1 tbsp),condiment,89,2.6,3.2,8.0,1.4,0.1,17,0,snack,0,low,51.8,Tahini (1 tbsp)
Chickpeas (1/2 cup canned),legume,135,7.0,22.0,2.0,6.0,3.0,250,0,lunch,0,medium,70.5,Chickpeas (1/2 cangkir canned)
Lettuce (Romaine 2 cups),vegetable,16,1.0,3.0,0.3,2.0,1.0,10,0,lunch,0,low,51.3,Lettuce (Romaine 2 cups)
Italian Dressing (2 tbsp),condiment,70,0.0,3.0,7.0,0.0,2.0,300,0,lunch,0,low,34.1,Italian Dressing (2 tbsp)
Turkey Sausage (1 patty),protein/meat,70,9.0,1.0,4.0,0.0,0.5,280,35,breakfast,0,low,48.0,Turkey Sausage (1 patty)
Maple Syrup (1 tbsp),condiment,52,0.0,13.5,0.0,0.0,12.0,1,0,breakfast,0,low,32.9,Maple Syrup (1 tbsp)
Quesadilla (Cheese 1 medium),meal/processed,400,18.0,35.0,22.0,3.0,2.0,700,50,lunch,250,high,63.3,Quesadilla (keju 1 sedang)
Sour Cream (1 tbsp),condiment/dairy,30,0.4,0.6,2.9,0.0,0.4,12,6,lunch,0,low,42.1,Sour Cream (1 tbsp)
Salsa (2 tbsp),condiment,10,0.5,2.0,0.0,0.5,1.0,120,0,lunch,0,low,41.7,Salsa (2 tbsp)
Red Cabbage (1 cup raw),vegetable,22,1.1,5.2,0.1,1.6,2.8,8,0,dinner,0,low,48.4,Red Cabbage (1 cangkir mentah)
Duck (3oz roasted),protein/meat,285,16.0,0.0,24.0,0.0,0.0,65,72,dinner,0,medium,62.1,Duck (3oz panggang)
Orange Sauce (1/4 cup for duck),condiment,90,0.5,22.0,0.0,0.5,20.0,200,0,dinner,0,low,25.1,jeruk Sauce (1/4 cangkir for duck)
Wild Rice (1 cup cooked),grain,166,6.5,35.0,0.6,3.0,1.2,5,0,dinner,0,medium,64.0,Wild nasi (1 cangkir matang)
Cupcake (Vanilla 1 medium),dessert,240,2.0,35.0,11.0,1.0,25.0,200,30,snack,0,medium,24.1,Cupcake (Vanilla 1 sedang)
Frosting (Vanilla 2 tbsp),condiment,140,0.0,22.0,6.0,0.0,22.0,65,0,snack,0,medium,23.7,Frosting (Vanilla 2 tbsp)
Bison Burger (1 patty),protein/meat,150,22.0,0.0,7.0,0.0,0.0,65,70,lunch,250,medium,71.6,Bison burger (1 patty)
Pretzel Bun (1 medium),grain,230,8.0,45.0,2.0,2.0,4.0,550,0,lunch,0,medium,47.8,Pretzel Bun (1 sedang)
Spicy Mustard (1 tbsp),condiment,10,0.5,1.0,0.5,0.5,0.0,120,0,lunch,0,low,42.5,pedas Mustard (1 tbsp)
Pasta Salad (1 cup),meal/pasta,280,8.0,30.0,14.0,4.0,5.0,450,10,lunch,0,medium,57.2,pasta salad (1 cangkir)
Pepperoncini (2 peppers),vegetable,10,0.5,2.0,0.0,1.0,1.0,350,0,lunch,0,low,38.7,Pepperoncini (2 peppers)
Coconut Milk (1/4 cup canned),condiment,111,1.1,2.9,11.6,0.5,1.5,8,0,dinner,0,medium,44.8,Coconut susu (1/4 cangkir canned)
Green Curry Paste (1 tbsp),condiment,30,0.5,2.0,2.5,1.0,1.0,400,0,dinner,0,low,37.6,Green Curry Paste (1 tbsp)
Chicken Thigh (1 roasted),protein/meat,210,24.0,0.0,13.0,0.0,0.0,90,120,dinner,0,medium,71.6,paha ayam (1 panggang)
Jasmine Rice (1 cup cooked),grain,205,4.3,45.0,0.4,0.6,0.0,2,0,dinner,0,medium,51.5,Jasmine nasi (1 cangkir matang)
Thai Iced Tea (1 glass),beverage,250,3.0,35.0,12.0,0.0,33.0,50,35,snack,300,medium,18.3,Thai Iced teh (1 glass)
Papaya (1 cup cubes),fruit,62,0.6,15.7,0.4,2.5,11.0,12,0,snack,0,low,44.9,Papaya (1 cangkir cubes)
Lime Juice (1 tbsp),condiment,4,0.1,1.3,0.0,0.1,0.2,0,0,snack,0,low,42.8,Lime Juice (1 tbsp)
Macaroni Salad (1 cup),meal/pasta,380,8.0,30.0,25.0,3.0,6.0,750,20,lunch,0,high,45.0,Macaroni salad (1 cangkir)
Celery (1 stalk),vegetable,6,0.3,1.2,0.1,0.6,0.5,32,0,lunch,0,low,44.2,Celery (1 stalk)
Blue Cheese (1 oz),dairy,100,6.0,0.7,8.0,0.0,0.1,325,21,snack,0,medium,43.3,Blue keju (1 oz)
Dark Chocolate (1 oz 70%),dessert,170,2.2,13.0,12.0,3.0,7.0,5,0,snack,0,medium,52.7,Dark Chocolate (1 oz 70%)
Acai Bowl (1 serving),meal/fruit,350,5.0,60.0,12.0,10.0,30.0,40,0,breakfast,250,high,67.7,Acai Bowl (1 porsi)
Granola (1/4 cup topping),grain,120,3.0,15.0,6.0,3.0,7.0,20,0,breakfast,0,medium,53.7,Granola (1/4 cangkir topping)
Coconut Flakes (1 tbsp topping),fruit,35,0.3,1.5,3.3,0.7,0.5,1,0,breakfast,0,low,45.3,Coconut Flakes (1 tbsp topping)
Honey (1 tsp drizzle),condiment,21,0.0,5.8,0.0,0.0,5.8,0,0,breakfast,0,low,37.8,Honey (1 tsp drizzle)
Shrimp Cocktail (4 large shrimp),protein/seafood,60,10.0,1.0,1.0,0.0,0.5,300,110,snack,0,low,45.2,udang Cocktail (4 besar udang)
Cocktail Sauce (2 tbsp),condiment,30,0.5,7.0,0.0,0.5,5.0,450,0,snack,0,low,31.3,Cocktail Sauce (2 tbsp)
Pork Bun (1 steamed),meal/processed,220,8.0,30.0,8.0,2.0,6.0,400,20,lunch,0,medium,48.6,daging babi Bun (1 kukus)
Dim Sum (Siu Mai 3 pcs),meal/processed,180,12.0,10.0,10.0,2.0,1.0,550,60,lunch,0,medium,53.3,Dim Sum (Siu Mai 3 pcs)
Soy Sauce (1 tbsp for dipping),condiment,9,1.0,1.0,0.0,0.1,0.4,920,0,lunch,0,low,23.5,Soy Sauce (1 tbsp for dipping)
Oyster (1 medium raw),protein/seafood,8,1.0,0.5,0.2,0.0,0.0,50,10,dinner,0,low,42.3,Oyster (1 sedang mentah)
Mignonette Sauce (1 tbsp),condiment,5,0.0,1.0,0.0,0.0,0.5,30,0,dinner,0,low,41.3,Mignonette Sauce (1 tbsp)
Beef Pho (1 large bowl),meal/soup,450,30.0,55.0,12.0,4.0,5.0,1500,60,dinner,500,high,65.5,daging sapi Pho (1 besar bowl)
Bean Sprouts (1/4 cup garnish),vegetable,8,0.8,1.5,0.1,0.4,1.0,1,0,dinner,0,low,44.4,Bean Sprouts (1/4 cangkir garnish)
Thai Basil (garnish),condiment,1,0.1,0.0,0.0,0.0,0.0,0,0,dinner,0,low,42.5,Thai Basil (garnish)
Lime Wedge (garnish),condiment,3,0.1,1.0,0.0,0.3,0.2,0,0,dinner,0,low,43.6,Lime Wedge (garnish)
Jalapeno (1 tbsp sliced),vegetable,4,0.1,0.8,0.1,0.4,0.5,1,0,dinner,0,low,43.7,Jalapeno (1 tbsp sliced)
Hoisin Sauce (1 tbsp),condiment,35,0.3,8.0,0.2,0.1,5.0,220,0,dinner,0,low,34.4,Hoisin Sauce (1 tbsp)
Sriracha (1 tsp),condiment,5,0.1,1.0,0.1,0.1,0.8,80,0,dinner,0,low,40.5,Sriracha (1 tsp)
Crepe (1 plain),grain,90,3.5,14.0,2.0,0.5,3.0,100,25,breakfast,0,low,44.0,Crepe (1 plain)
Nutella (1 tbsp),condiment,100,1.5,11.0,6.0,1.0,10.0,10,0,breakfast,0,medium,40.8,Nutella (1 tbsp)
Powdered Sugar (1 tsp),condiment,10,0.0,2.5,0.0,0.0,2.5,0,0,breakfast,0,low,40.4,Powdered Sugar (1 tsp)
Sake (3 oz),beverage,117,0.4,3.8,0.0,0.0,0.0,4,0,dinner,0,medium,42.9,Sake (3 oz)
Edamame (in pod 1 cup),legume,120,11.0,9.0,5.0,5.0,2.0,9,0,snack,250,medium,78.7,Edamame (in pod 1 cangkir)
Biryani (Chicken 1.5 cups),meal/meat,520,28.0,60.0,18.0,5.0,6.0,900,75,dinner,0,very_high,78.4,Biryani (ayam 1.5 cups)
Raita (2 tbsp),condiment/dairy,30,1.0,2.0,2.0,0.5,1.5,100,5,dinner,0,low,42.3,Raita (2 tbsp)
Lassi (Mango 1 cup),beverage,180,5.0,30.0,4.0,1.0,28.0,60,15,snack,240,medium,30.3,Lassi (mangga 1 cangkir)
Samosa (1 piece vegetable),snack/processed,130,2.0,18.0,6.0,2.0,1.0,300,0,snack,0,medium,46.4,Samosa (1 piece vegetable)
Tamarind Chutney (1 tbsp),condiment,20,0.1,5.0,0.0,0.5,4.0,120,0,snack,0,low,38.8,Tamarind Chutney (1 tbsp)
Mint Chutney (1 tbsp),condiment,5,0.2,0.5,0.0,0.3,0.2,150,0,snack,0,low,40.4,Mint Chutney (1 tbsp)
Pani Puri (6 pcs),snack/processed,200,4.0,35.0,5.0,3.0,2.0,400,0,snack,0,medium,50.7,Pani Puri (6 pcs)
Passion Fruit (1 fruit),fruit,17,0.4,4.2,0.1,1.9,2.0,5,0,snack,0,low,49.2,Passion Fruit (1 fruit)
Kimchi Jjigae (1 bowl),meal/soup,350,15.0,20.0,22.0,5.0,6.0,1200,30,dinner,500,high,53.8,Kimchi Jjigae (1 bowl)
Silken Tofu (3oz in soup),protein/vegetarian,45,5.0,2.0,2.5,0.5,1.0,5,0,dinner,0,low,51.4,Silken Tofu (3oz in sup)
Pork Belly (1 oz in soup),protein/meat,145,3.0,0.0,15.0,0.0,0.0,150,20,dinner,0,medium,42.6,daging babi Belly (1 oz in sup)
Gochugaru (1 tsp),condiment,10,0.3,1.8,0.3,0.5,0.3,1,0,dinner,0,low,44.6,Gochugaru (1 tsp)
Gochujang (1 tbsp),condiment,30,0.5,6.0,0.0,0.5,4.0,200,0,dinner,0,low,37.6,Gochujang (1 tbsp)
Sesame Oil (1 tsp),condiment,40,0.0,0.0,4.5,0.0,0.0,0,0,dinner,0,low,42.3,Sesame Oil (1 tsp)
Fish Sauce (1 tsp),condiment,5,0.4,0.5,0.0,0.0,0.4,450,0,dinner,0,low,32.6,ikan Sauce (1 tsp)
Green Onion (1 tbsp garnish),vegetable,3,0.2,0.7,0.0,0.2,0.2,0,0,dinner,0,low,43.3,Green Onion (1 tbsp garnish)
Kombucha (16 oz),beverage,60,0.0,14.0,0.0,0.0,12.0,20,0,snack,473,low,32.5,Kombucha (16 oz)
Beef Wellington (1 slice),meal/meat,600,30.0,35.0,38.0,4.0,4.0,850,100,dinner,0,very_high,78.7,daging sapi Wellington (1 iris)
Pate (Mushroom 2 tbsp),condiment,70,1.0,2.0,7.0,1.0,1.0,100,0,dinner,0,low,45.1,Pate (Mushroom 2 tbsp)
Puff Pastry (1 oz wrapper),grain,115,1.5,9.0,8.0,0.5,0.0,100,0,dinner,0,medium,44.5,Puff Pastry (1 oz wrapper)
