Title,Desc,Type,BodyPart,Equipment,Level,Rating,title_id
Side plank pulse,"The side plank pulse is a dynamic version of the side plank exercise focusing on the oblique muscles, as well as the transversus abdominis or deep core muscles. It can be performed for time or reps and can work in a warm-up or in the core-focused portion of any workout.",strength,abdominals,body only,intermediate,7.9,plank samping pulse
Total Fitness Spider Crawl (Unweighted),"The spider crawl is a bodyweight exercise that involves crawling on the floor with the knees outside of the elbows. It is different from a leopard crawl in that the hips are higher, and it's different from a bear crawl because the knees are wider. It can be done as a full-body warm-up, in short bursts for power or circuit training, or for longer durations as cardiovascular conditioning.",strength,abdominals,body only,intermediate,7.9,Total Fitness Spider Crawl (Unweighted)
Total Fitness V-Up,"The V-up is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a suitcase crunch, but the lower back lifts off the ground at the top of each rep. It can be performed for time or reps in the ab-focused portion of any workout.",strength,abdominals,body only,intermediate,7.9,Total Fitness V-Up
MetaBurn Alternating Knee-to-Elbow Mountain Climber,,strength,abdominals,body only,intermediate,7.9,MetaBurn bergantian Knee-to-Elbow pendaki gunung
Alternating sit-through with crunch-,"The alternating sit-through with crunch is a full-body movement that starts in a bear crawl position and ends with a leg kicked out to the side. In between reps, you perform a crunch. It is commonly performed for reps or time in bodyweight circuits and animal-style flows, but can also work on its own or as part of a dynamic warm-up or mobility sequence.",strength,abdominals,body only,intermediate,7.9,bergantian sit-through with crunch-
MetaBurn Alternating Toe-Touch,,strength,abdominals,body only,intermediate,7.9,MetaBurn bergantian Toe-Touch
MetaBurn Janda Sit-Up,,strength,abdominals,body only,intermediate,7.9,MetaBurn Janda sit-up
MetaBurn Oblique Roll Crunch,,strength,abdominals,body only,intermediate,7.9,MetaBurn Oblique Roll crunch
MetaBurn Plank Jack,,strength,abdominals,body only,intermediate,7.9,MetaBurn plank lompat jack
MetaBurn Plank To Alternating Side Plank,,strength,abdominals,body only,intermediate,7.9,MetaBurn plank To bergantian plank samping
MetaBurn Plank Up-Down,,strength,abdominals,body only,intermediate,7.9,MetaBurn plank Up-Down
MetaBurn Plank Wiper,,strength,abdominals,body only,intermediate,7.9,MetaBurn plank Wiper
MetaBurn Plank With Alternating Toe-Touch,,strength,abdominals,body only,intermediate,7.9,MetaBurn plank With bergantian Toe-Touch
MetaBurn Plyo Push-Up,,strength,abdominals,body only,intermediate,7.9,MetaBurn Plyo dorongan-up
MetaBurn Psycho Crunch,,strength,abdominals,body only,intermediate,7.9,MetaBurn Psycho crunch
MetaBurn Scapular Retraction Plank,,strength,abdominals,body only,intermediate,7.9,MetaBurn Scapular Retraction plank
MetaBurn Scapular Retraction Plank Hold,,strength,abdominals,body only,intermediate,7.9,MetaBurn Scapular Retraction plank tahan
MetaBurn Scorpion,,strength,abdominals,body only,intermediate,7.9,MetaBurn Scorpion
MetaBurn Side Crawler,,strength,abdominals,body only,intermediate,7.9,MetaBurn samping Crawler
MetaBurn Side Plank Oblique Crunch,,strength,abdominals,body only,intermediate,7.9,MetaBurn plank samping Oblique crunch
MetaBurn Sit-Through,,strength,abdominals,body only,intermediate,7.9,MetaBurn Sit-Through
MetaBurn Sit-Up To V-Up,,strength,abdominals,body only,intermediate,7.9,MetaBurn sit-up To V-Up
MetaBurn Sit-Up With Rotation,,strength,abdominals,body only,intermediate,7.9,MetaBurn sit-up With Rotation
MetaBurn Split-Leg Crunch,,strength,abdominals,body only,intermediate,7.9,MetaBurn Split-kaki crunch
MetaBurn Tabletop Hip Thrust,,strength,abdominals,body only,intermediate,7.9,MetaBurn Tabletop pinggul Thrust
MetaBurn Tabletop With Russian Kick,,strength,abdominals,body only,intermediate,7.9,MetaBurn Tabletop With Russian Kick
MetaBurn Toe Driver Abs,,strength,abdominals,body only,intermediate,7.9,MetaBurn Toe Driver Abs
MetaBurn-V-Up,,strength,abdominals,body only,intermediate,7.9,MetaBurn-V-Up
X-body V-up,"The X-body V-up is a bodyweight abdominal exercise performed on the floor. It is similar to the popular V-up exercise, but is performed with the arms and legs out wide in an X-shape. It primarily targets the muscles of the rectus abdominis, or “six-pack” muscles. It can be performed for reps or time, either as part of an ab-focused workout or as a component of a circuit workout.",strength,abdominals,body only,intermediate,7.9,X-body V-up
MetaBurn Swivel Crunch,,strength,abdominals,body only,intermediate,7.9,MetaBurn Swivel crunch
Robertson Core-Engaged Dead Bug,,strength,abdominals,body only,intermediate,7.9,Robertson Core-Engaged Dead Bug
FYR2 Double-Under,,strength,abdominals,body only,intermediate,7.9,FYR2 Double-Under
FYR2 Fire Feet with Burpee Tuck Jump Drill,,strength,abdominals,body only,intermediate,7.9,FYR2 Fire Feet with burpee Tuck Jump Drill
FYR2 Flutter Kick,,strength,abdominals,body only,intermediate,7.9,FYR2 Flutter Kick
FYR2 Half-Moon,,strength,abdominals,body only,intermediate,7.9,FYR2 Half-Moon
FYR2 Leopard Crawl,,strength,abdominals,body only,intermediate,7.9,FYR2 Leopard Crawl
FYR2 Plank Alternating Front Step,,strength,abdominals,body only,intermediate,7.9,FYR2 plank bergantian depan Step
FYR2 Shoulder Tap,,strength,abdominals,body only,intermediate,7.9,FYR2 bahu Tap
Hand shift plank,The hand shift plank is a progression of the straight-arm plank exercise where you maintain a plank position as you shift your hands side to side. The additional movement forces the core muscles to work harder to stabilize.,strength,abdominals,body only,intermediate,7.9,Hand shift plank
Cross-body plank march,"The cross-body plank march is an exercise targeting the entire core but especially the obliques. It’s more difficult than a standard plank, with the extra stabilization challenge of bringing one knee at a time off the ground toward the opposing elbow. This will increase the challenge to the core and shoulder muscles, but also present a coordination and balance challenge.",strength,abdominals,body only,intermediate,7.9,Cross-body plank march
Bent-knee Copenhagen hip adduction,"The bent-knee Copenhagen hip adduction is an advanced exercise that combines the isometric stabilization of the Copenhagen plank with dynamic adductions to challenge the core stabilizers and adductors. This exercise targets the same muscles as the side plank, including the obliques, shoulders, and lateral hips, but places extra emphasis on the adductors and is more difficult than side planks on the floor. Most lifters will need to progress to this version after mastering the basic side plank or Copenhagen plank first.",strength,abdominals,body only,intermediate,7.9,Bent-knee Copenhagen pinggul adduction
Copenhagen plank,"The Copenhagen plank is an advanced version of the side plank performed with one foot on a bench and the other foot hovering under it. This exercise targets the same muscles as the side plank, including the obliques, shoulders, and lateral hips, but places extra emphasis on the adductors and is more difficult than side planks on the floor. Most lifters will need to progress to this version after mastering the basic side plank or feet-elevated side plank first.",strength,abdominals,body only,intermediate,7.9,Copenhagen plank
ACFT Hanging leg tuck,"The hanging leg tuck is an exercise targeting the entire body, including the arms, upper back, abs, and hip flexors. This specific exercise is part of the new Army Combat Fitness Test or ACFT. It is performe while hanging from a bar and combines elements of a pull-up with a leg raise. Experienced lifters make these look easy, but beginners may need time to build up to sets of 8-12 reps.",strength,abdominals,body only,intermediate,7.9,ACFT menggantung kaki tuck
Alternating hanging knee raise,"The alternating hanging knee raise is an exercise targeting the abs, but which also works the lats and hip flexors. Rather than performing both legs at a time, you lift one knee at a time and alternate with each rep as if marching in place. Knee raises are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.",strength,abdominals,body only,intermediate,7.9,bergantian menggantung knee angkat
Plank To Sphinx,,strength,abdominals,body only,intermediate,7.9,plank To Sphinx
Twisting Mountain Climbers,,strength,abdominals,body only,intermediate,7.9,Twisting Mountain Climbers
Jack Knives,,strength,abdominals,body only,intermediate,7.9,lompat jack Knives
Hanging Leg Raises,,strength,abdominals,body only,intermediate,7.9,menggantung kaki angkat
Dumbbell suitcase crunch,"The dumbbell suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training.",strength,abdominals,medicine ball,intermediate,9.0,dumbbell suitcase crunch
Medicine ball rotational throw,"The medicine ball rotational throw is an explosive exercise targeting the abdominals, including the obliques, as well as the hips and upper back. It involves standing sideways to the wall and twisting the torso to hurl a medicine ball into the wall, then catching the ball on the ricochet. It can be performed for lower reps with a focus on power, or for higher reps with a focus on fat loss and conditioning.",strength,abdominals,medicine ball,intermediate,0.0,Medicine ball rotational throw
Hollow-hold ball toss,"The hollow-hold ball toss is a more difficult version of the hollow-body hold exercise. It involves tossing a ball to a partner while maintaining an isometric hold in the hollow-body position. It can be done for reps or time in any ab-focused workout, or in an ""I go, you go"" format.",strength,abdominals,medicine ball,intermediate,0.0,Hollow-tahan ball toss
Partner front Russian twist and pass,"The partner front Russian twist and pass is a weighted version of a popular abdominal training exercise that also utilizes a training partner to add another dynamic component. It targets the oblique muscles, as well as the deep muscles of the core and the rectus abdominis or ""six pack"" muscles. It can be done for reps or time in an ab-focused portion of any workout.",strength,abdominals,medicine ball,beginner,0.0,pasangan depan putaran Rusia and pass
Sit-up with single-arm overhand throw,"The sit-up with single-arm overhand throw is an exercise targeting the core muscles, but the inclusion of the throw also brings in other upper-body muscles. When you come to the top of the sit-up position, you throw a medicine ball using one arm to a partner who then throws it right back to you to be caught with both hands. It can be performed for time or reps as part of the ab-focused portion of any workout.",plyometrics,abdominals,medicine ball,intermediate,0.0,sit-up with satu lengan overhand throw
Medicine ball partner twist,"The medicine ball partner twist is a plyometrics exercise targeting the core muscles, particularly the obliques. You and a partner stand back to back and rotate in unison to pass a medicine ball back and forth on alternating sides.",plyometrics,abdominals,medicine ball,intermediate,0.0,Medicine ball pasangan putaran
Partner side Russian twist and pass,"The partner side Russian twist and pass is a weighted version of a popular abdominal training exercise that also utilizes a training partner to add another dynamic component. It primarily targets the oblique muscles, as well as the deep muscles of the core and the rectus abdominis or ""six pack"" muscles. It can be done for reps or time in an ab-focused portion of any workout.",strength,abdominals,medicine ball,beginner,0.0,pasangan samping putaran Rusia and pass
Medicine ball half moon,"The medicine ball half moon is a dynamic core exercise performed around and over a medicine ball or other short, stationary object. It is similar in some ways to a V-up or reverse crunch, and targets both the obliques and the rectus abdominis or ""six-pack"" muscles. It can be performed for reps or for time, usually in dedicated ab training or as part of a medicine ball and bodyweight circuit workout.",strength,abdominals,medicine ball,intermediate,7.9,Medicine ball half moon
Exercise ball roll-out,"The exercise ball roll-out is an exercise that strengthens the core, shoulders and upper- back muscles. It starts in a plank-style position, with the arms resting on a ball. Then, roll the ball out in front of you as far as you can while maintaining a strong, neutral spinal position. The lack of stability from the ball increases the degree of difficulty. This is a difficult movement, and beginners may need to use a limited range of motion.",strength,abdominals,medicine ball,intermediate,7.9,Exercise ball roll-out
Medicine ball pass,"The medicine ball pass is a simple partner-based exercise that involves throwing a weighted ball back and forth. It can be part of a dynamic warm-up for lifting or athletics, but can also work as active rest or as a component of circuit training.",strength,abdominals,medicine ball,intermediate,7.9,Medicine ball pass
Partner medicine ball sit-up,"The partner medicine ball sit-up is a more difficult version of the traditional abdominal exercise. Two partners pass a medicine ball back and forth at the top of each rep, so each one must alternate a weighted rep with an unweighted rep. This technique can be done for reps or time in any ab-focused workout, in an ""I go, you go"" format.",strength,abdominals,medicine ball,intermediate,7.9,pasangan medicine ball sit-up
Medicine ball Russian twist,"The medicine ball Russian twist is a weighted version of a popular abdominal training exercise. It targets the oblique muscles, as well as the deep muscles of the core and the rectus abdominis or ""six pack"" muscles. It can be done for reps or time in the ab-focused portion of any workout.",strength,abdominals,medicine ball,intermediate,7.9,Medicine ball putaran Rusia
30 Medicine Ball Slam,"The medicine ball slam is an explosive exercise for developing power, strength, and speed. Muscles worked include the abdominals, legs, triceps, shoulders, and lats. The slams are usually done in rapid succession to complete one set. It can also be a component of a power or athleticism-focused circuit workout.",strength,abdominals,medicine ball,intermediate,7.9,30 Medicine Ball Slam
Medicine ball twist,"The medicine ball twist is an exercise targeting the abdominal muscles, particularly the obliques. It is similar in many ways to a Russian twist exercise. The ball is held tight to the chest throughout the movement, and then the torso is rotated from side to side for the desired number of reps or a set amount of time.",strength,abdominals,medicine ball,intermediate,7.9,Medicine ball putaran
FYR2 Medicine Ball Complex,,strength,abdominals,medicine ball,intermediate,7.9,FYR2 Medicine Ball Complex
FYR2 Medicine Ball Fire-Feet Drill,,strength,abdominals,medicine ball,intermediate,7.9,FYR2 Medicine Ball Fire-Feet Drill
FYR2 Medicine Ball Knees-to-Chest,,strength,abdominals,medicine ball,intermediate,7.9,FYR2 Medicine Ball Knees-to-dada
FYR2 Medicine Ball Mountain Climber,,strength,abdominals,medicine ball,intermediate,7.9,FYR2 Medicine Ball pendaki gunung
Decline oblique crunch,"The decline oblique crunch is a popular bodyweight exercise targeting the obliques and the rectus abdominis or ""six-pack"" muscles. It is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout.",strength,abdominals,body only,intermediate,8.5,menurun oblique crunch
Decline sit-up,"The decline sit-up is a bodyweight core exercise that works the rectus abdominis or ""six pack"" muscles. Sit-up variations are usually performed for moderate to high reps, such as 10-15 reps per set or more, as part of the core-focused portion of a workout.",strength,abdominals,body only,intermediate,7.9,menurun sit-up
Hanging Windshield Wiper,"The hanging windshield wiper is an advanced abdominal training exercise that is also extremely challenging to other muscles of the upper body, including the lats (latissimus dorsi), biceps, and grip. It requires—and builds—great strength in the rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles. If you can't perform it hanging from a bar, the lying windshield wiper on the floor provides some of the same benefits.",strength,abdominals,body only,intermediate,7.9,menggantung Windshield Wiper
Exercise Ball Pull-In,The exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. This is a fairly advanced abdominal move requiring core strength.,strength,abdominals,exercise ball,intermediate,8.9,Exercise Ball tarikan-In
Exercise ball crunch,"The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench, by using a ball you can increase the range of motion and both stretch and contract the abs on every rep. The ball crunch can be performed for low reps with a slower tempo focusing on a hard contraction, or for higher reps.",strength,abdominals,exercise ball,intermediate,8.4,Exercise ball crunch
Feet-elevated crunch,"The feet-elevated crunch is a variation on the basic crunch, a very popular ab move. Resting the feet on a bench takes some of the hip flexor activation out of the movement, focusing the stress more on the abs. It may have a small range of motion, but this movement produces a major burn.",strength,abdominals,exercise ball,intermediate,7.3,Feet-elevated crunch
Weighted Ball Side Bend,,strength,abdominals,exercise ball,beginner,6.4,berbeban Ball samping Bend
Swiss Ball Ab Roll-Out,"The exercise ball roll-out is an exercise that strengthens the core, shoulders and upper- back muscles. It starts in a plank-style position, with the arms resting on a ball. Then, you roll the ball out in front of you as far as you can while maintaining a strong, neutral spinal position. The lack of stability from the ball increases the degree of difficulty. This is a difficult movement, and beginners may need to use a limited range of motion.",strength,abdominals,exercise ball,intermediate,7.9,Swiss Ball Ab roll-out
Exercise ball squat and twist,"The exercise ball squat and twist is a combination exercise targeting the quads, but also the obliques because of the twisting motion with each repetition. The exercise ball is held close to the chest throughout. Because it is a lightweight movement, it is usually performed for high reps or for time, and can be a great part of a bodyweight and exercise ball circuit.",strength,abdominals,exercise ball,intermediate,7.9,Exercise ball squat and putaran
Swiss Ball V-Up With Foot Pass,"The exercise ball V-up is a popular movement to target the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. It involves passing an exercise ball or yoga ball back and forth between the hands and feet while performing V-ups. It can be performed for reps or time as part of any ab-focused workout or bodyweight circuit.",strength,abdominals,exercise ball,intermediate,7.9,Swiss Ball V-Up With Foot Pass
Exercise ball pike,"The exercise ball pike is a challenging move that targets the core. It involves thrusting the hips into full flexion over a ball, then extending out to a foot-elevated plank with the feet on the ball. It's a challenging move from a strength perspective, but also for balance. It can be the centerpiece of an ab workout or go along with other body weight or ball movements in an ab circuit.",strength,abdominals,exercise ball,intermediate,7.9,Exercise ball pike
Exercise ball bird dog,"The exercise ball bird dog is a dynamic movement focusing on the glutes and the postural muscles of the upper back. When performing it, use an exercise ball that is tall enough to support your chest and core, but short enough to allow your hands and knees to reach the ground. It is slightly easier than a bodyweight bird dog and can work as a regression for that movement. It can be done for time or reps as part of a warm-up, paired with movements in a workout, or as a mobility or recovery exercise.",strength,abdominals,exercise ball,intermediate,7.9,Exercise ball bird dog
Exercise ball superman,"The exercise ball superman is a slightly more advanced variation of the bodyweight superman exercise. It targets many muscles along the posterior or backside of the body, including the rear deltoids, trapezius, spinal erectors, glutes, and hamstrings. It can be done for time or reps as part of a warm-up, paired with movements in a workout, or as a mobility or recovery exercise.",strength,abdominals,exercise ball,intermediate,7.9,Exercise ball superman
BOSU cross-body crunch,"The BOSU cross-body crunch is a dynamic abdominal exercise performed on a BOSU ball or other stability training device. It targets several of the muscles in the core, including the obliques and the rectus abdominis or ""six-pack"" muscles. It is usually performed in alternating reps, either for time or a number of reps, as part of an ab-focused workout or a circuit involving body weight or the BOSU ball.",strength,abdominals,exercise ball,intermediate,7.9,BOSU cross-body crunch
Exercise Ball Knee Tuck - Gethin Varation,The exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. This is a fairly advanced abdominal move requiring core strength.,strength,abdominals,exercise ball,intermediate,7.9,Exercise Ball Knee Tuck - Gethin Varation
Alternating Exercise Ball Knee Tucks - Gethin Variation,The exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. This is a fairly advanced abdominal move requiring core strength.,strength,abdominals,exercise ball,intermediate,7.9,bergantian Exercise Ball Knee Tucks - Gethin Variation
AM Ball Crunch,"The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench, by using a ball, you can increase the range of motion and both stretch and contract the abs on every rep. The ball crunch can be performed for low reps with a slower tempo, focusing on a hard contraction, or for higher reps.",strength,abdominals,exercise ball,intermediate,7.9,AM Ball crunch
30 Bosu Cable Reverse Crunch,,strength,abdominals,exercise ball,intermediate,7.9,30 Bosu kabel Reverse crunch
BOSU knee tuck,"The BOSU knee tuck is a dynamic abdominal movement performed on a BOSU ball or other stability training device. It primarily targets the rectus abdominis or ""six-pack"" muscles of the core. It can be performed for time or reps as part of an ab-focused workout or a circuit involving body weight or the BOSU ball.",strength,abdominals,exercise ball,intermediate,7.9,BOSU knee tuck
30 Side Plank On Ball,"The feet-elevated side plank on ball is a more advanced version of a traditional bodyweight side plank. The feet are balanced on an exercise ball, providing a balance challenge but also increasing the load placed upon the obliques and shoulder muscles. It is usually performed for timed holds, either one side at a time or alternating sides. If a ball is unavailable, some of the benefits of the movement can be obtained by performing side planks with the feet elevated on a couch, chair, bench, or other stable object.",strength,abdominals,exercise ball,intermediate,7.9,30 plank samping On Ball
Hanging exercise ball leg raise,"The hanging exercise ball leg raise is an exercise targeting the abs and hip flexors. Instead of resting the forearms on the pads of an apparatus, it's performed hanging from a bar with an exercise ball held between the legs.",strength,abdominals,exercise ball,intermediate,7.9,menggantung exercise ball kaki angkat
Taylor Exercise Ball Stir-The-Pot,,strength,abdominals,exercise ball,intermediate,7.9,Taylor Exercise Ball Stir-The-Pot
FYR2 Air Ball,,strength,abdominals,exercise ball,intermediate,7.9,FYR2 Air Ball
Feet-elevated plank on ball,"The feet-elevated plank is a variation on the straight-arm plank, a bodyweight standard. The feet are elevated on a ball to align the body parallel to the floor and provide a greater stabilization challenge. This makes it more difficult than straight-arm planks on the floor, but also puts more emphasis on the shoulder muscles. It is often used as a shoulder and core warm-up, or as a burnout movement for a chest or shoulder workout.",strength,abdominals,exercise ball,intermediate,7.9,Feet-elevated plank on ball
Band Hip Adductions,,strength,adductors,bands,beginner,8.6,band pinggul Adductions
Lateral Band Walk,,strength,abductors,bands,intermediate,0.0,Lateral band Walk
FYR2 Standing Banded Leg Abduction,,strength,abductors,bands,intermediate,7.9,FYR2 berdiri dengan band kaki Abduction
Iliotibial band SMR,"Iliotibial band self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller or other ""trigger point"" massage tool. By applying pressure strategically to the IT band along the side of the upper leg, some people find they can cause this often painful and tight area to relax or ""release."" IT band SMR is often accompanied by SMR on the glute or quad muscles, or by stretches that target the glutes or quads.",stretching,abductors,foam roll,intermediate,8.2,Iliotibial band SMR
Adductor SMR,"Adductor self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the adductor muscles in the inner thigh region, some people find they can cause this often painful and tight muscle to relax or ""release."" Adductor SMR is often accompanied by SMR on the iliotibial (IT) band or glutes (TFL muscles), or by stretches that target the adductors.",stretching,adductors,foam roll,beginner,4.0,Adductor SMR
Lying Bent Leg Groin,,stretching,adductors,other,beginner,2.8,berbaring Bent kaki Groin
Lateral box jump,"The lateral box jump is a plyometric exercise targeting lateral agility and lower-body strength. It's a great move for athletes in many sports, including basketball, skiing, and tennis.",plyometrics,adductors,other,intermediate,0.0,Lateral box jump
Thigh adductor,"The thigh adductor machine is a lower-body exercise that targets the muscles of the inner thighs. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of lower-body training.",strength,adductors,machine,intermediate,9.0,Thigh adductor
Thigh abductor,"The thigh abductor is a lower-body exercise that targets the muscles of the outer hips and glutes. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of lower-body training.",strength,abductors,machine,intermediate,8.2,Thigh abductor
Standing Hip Circles,,stretching,abductors,body only,beginner,8.8,berdiri pinggul Circles
Groiners,,stretching,adductors,body only,beginner,8.8,Groiners
Fire Hydrant,,strength,abductors,body only,beginner,8.0,Fire Hydrant
Windmills,,stretching,abductors,body only,intermediate,8.0,Windmills
Side Leg Raises,,stretching,adductors,body only,beginner,7.7,samping kaki angkat
Lateral hop,"The lateral hop is an explosive bodyweight exercise that consists of a two-legged hop to the side. It targets the lower body, including the quads, glutes, and hamstrings. Performed for reps, it also provides a serious cardiovascular challenge. It can be performed for time or reps and is especially effective in a fat-loss or athleticism-focused circuit or workout.",plyometrics,adductors,body only,intermediate,7.3,Lateral hop
Monster Walk,,strength,abductors,body only,intermediate,6.7,Monster Walk
Side Lying Groin Stretch,,stretching,adductors,body only,intermediate,3.8,samping berbaring Groin Stretch
IT Band and Glute Stretch,,stretching,abductors,body only,intermediate,2.4,IT band and bokong Stretch
Single-leg lying cross-over stretch,"The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back, hips, and glutes. It involves rotating a single leg over the body while lying flat on the back. It is commonly included in dynamic warm-ups, but can also be performed as full-body mobility work anytime.",stretching,abductors,body only,beginner,1.6,Single-kaki berbaring cross-over stretch
Carioca quick step,"The carioca quick step is a lateral bodyweight exercise targeting the adductors but also promoting agility and overall conditioning. It’s a favorite of football players, particularly defensive backs, because it mimics the way they have to track wide receivers downfield. It can also help mobilize the hips for athletes and lifters of all ability levels.",plyometrics,adductors,body only,intermediate,0.0,Carioca quick step
Standing hip circle,"The standing hip circle is a bodyweight exercise targeting the hips and abductor muscles. It is a classic way to ""limber up"" after sitting for a long period or before a lower-body workout or sports. It requires no equipment and can be helpful for everyone from beginners to advanced fitness enthusiasts.",stretching,abductors,body only,intermediate,0.0,berdiri pinggul circle
Lateral cone hop,"The lateral cone hop is an agility drill that involves jumping over cones or other short hurdles side to side rather than front to back. It can be performed for reps or for time and can be beneficial for track athletes, basketball players, or any other athletes who need explosive lateral power.",plyometrics,adductors,body only,intermediate,0.0,Lateral cone hop
Side-To-Side Adductor Stretch,,strength,adductors,body only,intermediate,7.9,samping-To-samping Adductor Stretch
Dynamic pigeon stretch,"The dynamic pigeon stretch is a lower-body stretch targeting the glutes, hips, and piriformis. It is influenced by the pigeon pose from yoga, but involves moving in and out of the pose. It can be part of a dynamic warm-up or mobility work performed anytime.",strength,abductors,body only,intermediate,7.9,Dynamic pigeon stretch
Cross-over jack,"The cross-over jack is a variation on the jumping jack, a popular calisthenics exercise used to improve overall conditioning. The difference between the jumping jack and the cross-over jack is that with the latter, the feet don't just come together each rep, they cross over each other. It's a great way to add variety to your warm-up or conditioning work.",strength,abductors,body only,intermediate,7.9,Cross-over lompat jack
Traveling thigh killa,"The traveling thigh killa is a challenging lower-body bodyweight exercise that builds muscular endurance with a series of hops forward and backward, as well as bodyweight squats. It can be performed for time or reps, usually in a circuit workout or as a lower-body finisher.",strength,abductors,body only,intermediate,7.9,Traveling thigh killa
FYR Thigh Killa,"The thigh killa is a challenging lower-body bodyweight exercise that builds muscular endurance with a series of hops and bodyweight squats. It can be performed for time or reps, usually in a circuit workout or as a lower-body finisher.",strength,abductors,body only,intermediate,7.9,FYR Thigh Killa
HM Straddle Stretch,,stretching,abductors,body only,intermediate,7.9,HM Straddle Stretch
HM Right Leg Swing,,stretching,abductors,body only,intermediate,7.9,HM Right kaki Swing
HM Right Side-Kick,,stretching,abductors,body only,intermediate,7.9,HM Right samping-Kick
HM Frog Stretch,,strength,abductors,body only,intermediate,7.9,HM Frog Stretch
HM Kick-Out,,strength,abductors,body only,intermediate,7.9,HM Kick-Out
HM Left Leg Swing,,strength,adductors,body only,intermediate,7.9,HM Left kaki Swing
UNS Foam Roll Adductor,,strength,adductors,body only,intermediate,7.9,UNS Foam Roll Adductor
MetaBurn Groiner,,strength,abductors,body only,intermediate,7.9,MetaBurn Groiner
Side-lying leg adduction scissor,"The side-lying leg adduction scissor is a dynamic core exercise that combines the isometric hold of a side-lying leg lift with leg adductions to further challenge the core and adductors. It targets multiple muscles of the core, primarily the rectus abdominis or ""six-pack"" muscles. It can be performed for time or reps in the ab-focused portion of any workout.",strength,adductors,body only,intermediate,7.9,samping-berbaring kaki adduction scissor
Groin and Back Stretch,,stretching,adductors,body only,beginner,7.1,Groin and punggung Stretch
Adductor/Groin,,stretching,adductors,body only,beginner,3.6,Adductor/Groin
Incline dumbbell biceps curl,"The incline dumbbell biceps curl is an exercise targeting the biceps and performed face up on an incline bench. This creates a vertical arm angle, which helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training.",strength,biceps,bands,intermediate,7.9,miring dumbbell bisep tekukan
Banded biceps curl in squat position,"The banded biceps curl in squat position is an exercise targeting the biceps, although it also works the core and lower body.",strength,biceps,bands,intermediate,7.9,dengan band bisep tekukan in squat position
Banded Hammer Press - Gethin Variation,The machine chest press is an upper body exercise targeting the pectoral muscles.,strength,biceps,bands,intermediate,7.9,dengan band Hammer dorongan - Gethin Variation
Band standing concentration curl,"The band standing concentration curl is a variation of a popular biceps-focused exercise utilizing a band instead of a dumbbell. It allows you to focus on one biceps at a time and really squeeze out intense peak contractions. Band concentration curls are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of an upper-body or arm-focused workout.",strength,biceps,bands,intermediate,7.9,band berdiri concentration tekukan
Brachialis SMR,"Brachialis self-myofascial release (SMR) is a self-administered soft-tissue treatment for the upper body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the biceps or brachialis muscles of the upper arm, some people find they can cause this often painful and tight muscle to relax or ""release."" Brachialis SMR is often accompanied by SMR on the triceps muscles or pectorals, or by stretches that target the biceps or pecs.",stretching,biceps,foam roll,beginner,3.2,Brachialis SMR
Wide-grip barbell curl,"The wide-grip barbell curl is a variation of the classic barbell curl with the grip wider than shoulder width. It is thought that this helps build the inner or ""short"" head of the biceps muscles. This movement is usually performed for moderate to high reps, such as 8-12 reps per set.",strength,biceps,barbell,beginner,9.3,pegangan lebar barbell tekukan
EZ-bar spider curl,"The EZ-bar spider curl is an exercise targeting the biceps and performed face down on either an incline bench or on the flat side of a preacher bench. The EZ-bar makes for a more comfortable wrist position, while the angle helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training.",strength,biceps,barbell,intermediate,9.2,EZ-bar spider tekukan
